service_type,department,division,position_number,job_title,total_pay,city,state
Education,Cambridge Public Schools,Elementary School Education,00007244,Aide-7,45887,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004322,Aide-7,45832,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00002207,Aide-7,45832,Cambridge,MA
Human Resource Development,Human Services,Childcare & Family Support Services,D447-713,Head Teacher/Daycare,45738,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00002159,Aide-6.5,45679,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00007322,Aide-6.5,45679,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005464,Aide-6.5,45679,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004026,Aide-6.5,45679,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00002393,Aide-6.5,45679,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00003885,Aide-6.5,45679,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004395,Aide-6.5,45552,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00007187,Aide-6.5,45552,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007185,Aide-6.5,45552,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000943,Aide-6.5,45552,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C644-216,Laborer,45525,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005541,Aide-7,45420,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004404,Aide-7,45420,Cambridge,MA
Public Safety,Inspectional Services,Inspection & Enforcement,C087-001,Admin Asst/Insp Svs,45389,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004677,Aide-7,45310,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00002320,Aide-7,45310,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00004264,Aide-6.5,45258,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00001979,Clerk,45242,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00001885,Custodian Jr 1,45209,Cambridge,MA
Education,Cambridge Public Schools,Operations,00001898,Jr Storekpr-1,45209,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,C644-013,Laborer,45113,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00002203,Aide-6.5,45079,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000224,Aide-6.5,45079,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005065,Aide-6.5,45079,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00007132,Aide-6.5,45079,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004127,Aide-6.5,45079,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007261,Aide-6.5,45079,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007282,Aide-6.5,45079,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007291,Aide-6.5,45079,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007294,Aide-6.5,45079,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00008327,Aide-6.5,45079,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00008262,Aide-6.5,45079,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005401,Aide-6.5,45079,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00008250,Aide-6.5,45079,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005228,Aide-6.5,45064,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000950,Aide-6.5,45064,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000953,Aide-6.5,45064,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005466,Aide-6.5,45064,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005207,Aide-6.5,45064,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005209,Aide-6.5,45064,Cambridge,MA
Human Resource Development,Library,Branch Libraries,L414-728,Library Assistant,44886,Cambridge,MA
Human Resource Development,Library,Main Library,L414-747,Library Assistant,44886,Cambridge,MA
Human Resource Development,Library,Branch Libraries,L414-745,Library Assistant,44886,Cambridge,MA
Human Resource Development,Library,Branch Libraries,L414-742,Library Assistant,44886,Cambridge,MA
Human Resource Development,Library,Branch Libraries,L414-741,Library Assistant,44886,Cambridge,MA
Human Resource Development,Library,Main Library,L414-739,Library Assistant,44886,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00002139,Aide-7,44802,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000221,Technical Assistant,44765,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007253,Program Manager 10 Months,44739,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00002243,Aide-6.5,44658,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004128,Aide-6.5,44430,Cambridge,MA
Human Resource Development,Library,Main Library,L414-734,Library Assistant,44327,Cambridge,MA
Human Resource Development,Human Services,Childcare & Family Support Services,D447-706,Head Teacher/Daycare,44316,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00002390,Aide-6.5,44302,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005227,Aide-6.5,44239,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007273,Aide-6.5,44239,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005602,Aide-6.5,44239,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005467,Aide-6.5,44239,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00004457,Aide-6.5,44239,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005078,Aide-6.5,44239,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007272,Aide-6.5,44239,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00007175,Aide-6.5,44239,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00002147,Aide-6.5,44239,Cambridge,MA
