service_type,department,division,position_number,job_title,total_pay,city,state
Public Safety,Emergency Communications,Communications Center,E374-004,Emerg Comm Supervisor,100461,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,E374-008,Emerg Comm Supervisor,100461,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,E374-005,Emerg Comm Supervisor,100461,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,E374-002,Emerg Comm Supervisor,100461,Cambridge,MA
Public Safety,Emergency Communications,Communications Center,E374-007,Emerg Comm Supervisor,100372,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007172,Teacher Special Educator,100227,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005156,Physical Therapist,100171,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001818,Physical Therapist,100171,Cambridge,MA
Human Resource Development,Library,Main Library,M409-701,Technical Support Mgr/Library,100162,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00001601,Teacher,100118,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00001145,Teacher Special Educator,100118,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000730,Teacher,100118,Cambridge,MA
Public Safety,Emergency Communications,Public Safety IT,M708-705,Proj Mngr/Business Analyst L1,100104,Cambridge,MA
Public Safety,Emergency Communications,Public Safety IT,M229-701,Enterprise Applic.Spec/PSIT,100104,Cambridge,MA
Human Resource Development,Human Services,"Leadership, Operations & IT",K031-001,Fiscal Administrator,100093,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-058,Fire Lieutenant,100088,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-050,Fire Lieutenant,100088,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-033,Fire Lieutenant,100088,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-057,Fire Lieutenant,100088,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-047,Fire Lieutenant,100088,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-038,Fire Lieutenant,100088,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-060,Fire Lieutenant,100088,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-055,Fire Lieutenant,100088,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-034,Fire Lieutenant,100088,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-036,Fire Lieutenant,100088,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-019,Fire Lieutenant,100088,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-053,Fire Lieutenant,100088,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-059,Fire Lieutenant,100088,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-008,Fire Lieutenant,100088,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-007,Fire Lieutenant,100088,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-044,Fire Lieutenant,100088,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005314,Teacher,100032,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000613,Teacher,100032,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00004331,Teacher,100032,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00005341,Teacher,100032,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007288,Teacher,100032,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00000826,Teacher,100032,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-045,Fire Lieutenant,100026,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-011,Fire Lieutenant,100026,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-046,Fire Lieutenant,100026,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-017,Fire Lieutenant,100026,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-010,Fire Lieutenant,100026,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-041,Fire Lieutenant,100026,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-029,Fire Lieutenant,100026,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-024,Fire Lieutenant,100026,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-037,Fire Lieutenant,100026,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-005,Fire Lieutenant,100026,Cambridge,MA
Public Safety,Police,Administration,P465-198,Police Officer,99901,Cambridge,MA
Public Safety,Police,Patrol,P465-267,Police Officer,99831,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-035,Fire Lieutenant,99644,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-054,Fire Lieutenant,99644,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-021,Fire Lieutenant,99644,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-006,Fire Lieutenant,99644,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-052,Fire Lieutenant,99644,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-022,Fire Lieutenant,99644,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-048,Fire Lieutenant,99644,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-003,Fire Lieutenant,99644,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-002,Fire Lieutenant,99644,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-039,Fire Lieutenant,99644,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-040,Fire Lieutenant,99644,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-016,Fire Lieutenant,99644,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-009,Fire Lieutenant,99597,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-013,Fire Lieutenant,99597,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-042,Fire Lieutenant,99597,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-032,Fire Lieutenant,99597,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-025,Fire Lieutenant,99597,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-043,Fire Lieutenant,99597,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,f505-056,Fire Lieutenant,99597,Cambridge,MA
Human Resource Development,Library,Main Library,M218-701,Manager of Library STEAM Prog.,99563,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00008352,Guidance Counselor,99455,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00008226,Conflict Mediator,99448,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00005034,Teacher Special Educator,99408,Cambridge,MA
Public Safety,Police,Technical Services,M480-701,Strategic Analysis Coordinator,99385,Cambridge,MA
Education,Cambridge Public Schools,Curriculum & Instructional Support,00005149,Lead Teacher,99358,Cambridge,MA
Public Safety,Community Safety,Administration,M337-707,Licensed Social Worker,99299,Cambridge,MA
Human Resource Development,Library,Main Library,M337-703,Licensed Social Worker,99299,Cambridge,MA
Public Safety,Police,Family and Social Justice,M337-701,Licensed Social Worker,99299,Cambridge,MA
Public Safety,Community Safety,Administration,M337-706,Licensed Social Worker,99299,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-018,Fire Lieutenant,99289,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-012,Fire Lieutenant,99254,Cambridge,MA
Human Resource Development,Human Services,Planning and Development,K014-001,Planning & Development Manager,99248,Cambridge,MA
Public Safety,Police,Patrol,P465-099,Police Officer,99162,Cambridge,MA
Public Safety,Police,Patrol,P465-176,Police Officer,99162,Cambridge,MA
Public Safety,Police,Patrol,P465-106,Police Officer,99162,Cambridge,MA
Public Safety,Police,Patrol,P465-231,Police Officer,99162,Cambridge,MA
Community Maintenance and Development,Public Works,Street & Sewer Maintenance,M055-001,Permit Coordinator,99135,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-023,Fire Lieutenant,98978,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-001,Fire Lieutenant,98953,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-049,Fire Lieutenant,98953,Cambridge,MA
Community Maintenance and Development,Public Works,Urban Forestry,J201-001,Public Works Supervisor/Lic.,98949,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-030,Fire Lieutenant,98739,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-051,Fire Lieutenant,98697,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-020,Fire Lieutenant,98653,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-031,Fire Lieutenant,98653,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00008270,Math Coach,98643,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00001461,Teacher,98576,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00008156,Transition Specialist,98576,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001640,Inclusion Instructional Specia,98576,Cambridge,MA
Public Safety,Fire,Headquarters & Fire Stations,F505-027,Fire Lieutenant,98567,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00007337,Psychologist,98511,Cambridge,MA
Community Maintenance and Development,Water,Source of Supply,M035-701,Reservior System Manager,98249,Cambridge,MA
Human Resource Development,Human Services,"Leadership, Operations & IT",M439-701,Communications Manager/DHSP,98249,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Parking Management,M140-001,Admin Hearings Officer/Tr,98249,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Parking Management,M140-002,Admin Hearings Officer/Tr,98249,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001631,Teacher,98171,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000731,Teacher,98171,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00008354,SocialWorker/AdjustmentCounsel,98143,Cambridge,MA
Education,Cambridge Public Schools,Operations,00000104,Lead Pipefitter,97968,Cambridge,MA
Education,Cambridge Public Schools,Operations,00001878,Elec - Head Electrician,97968,Cambridge,MA
Education,Cambridge Public Schools,Operations,00002113,Lead Fire Alarm Electrician,97968,Cambridge,MA
Education,Cambridge Public Schools,Operations,00002114,HVAC Technician,97968,Cambridge,MA
Education,Cambridge Public Schools,Elementary School Education,00001136,Speech/Language Pathologist,97962,Cambridge,MA
Education,Cambridge Public Schools,Secondary School Education,00000497,Teacher Special Educator,97962,Cambridge,MA
Education,Cambridge Public Schools,Upper School Education,00000920,Teacher Special Educator,97848,Cambridge,MA
Public Safety,"Traffic, Parking, and Transportation",Street Management,M169-701,Transportation Planner/Traffic,97789,Cambridge,MA
Education,Cambridge Public Schools,Leadership & Central Administration,00000163,Senior Budget Analyst,97786,Cambridge,MA
Community Maintenance and Development,Community Development,Environmental and Transportation Planning,M592-734,Project Planner/Com Devel,97763,Cambridge,MA
Public Safety,Police,Patrol,P465-199,Police Officer,97761,Cambridge,MA
Public Safety,Police,Patrol,P465-012,Police Officer,97761,Cambridge,MA
Public Safety,Police,Patrol,P465-098,Police Officer,97761,Cambridge,MA
Public Safety,Police,Patrol,P465-067,Police Officer,97761,Cambridge,MA
Public Safety,Police,Patrol,P465-244,Police Officer,97761,Cambridge,MA
Public Safety,Police,Patrol,P465-257,Police Officer,97761,Cambridge,MA
Public Safety,Police,Patrol,P465-057,Police Officer,97761,Cambridge,MA
Public Safety,Police,Patrol,P465-282,Police Officer,97760,Cambridge,MA
Community Maintenance and Development,Community Development,Environmental and Transportation Planning,M592-732,Project Planner/Com Devel,97668,Cambridge,MA
Community Maintenance and Development,Public Works,Solid Waste,J105-001,Supervisor of Solid Waste Oper,97624,Cambridge,MA
Human Resource Development,Human Services,Recreation,M473-701,Danehy Site Supervisor,97595,Cambridge,MA
Community Maintenance and Development,Water,Transmission & Distribution,M153-001,Assistant Distribution Mgr,97405,Cambridge,MA
Human Resource Development,Human Services,Recreation,A622-701,Superintendent-Golf Course,97270,Cambridge,MA
Public Safety,License Commission,Administration,M944-001,Executive Officer,97259,Cambridge,MA
